line,line_number
Those parts of thee that the world's eye doth view,1
Want nothing that the thought of hearts can mend;,2
"All tongues, the voice of souls, give thee that due,",3
"Uttering bare truth, even so as foes commend.",4
Thy outward thus with outward praise is crown'd;,5
But those same tongues that give thee so thine own,6
In other accents do this praise confound,7
By seeing farther than the eye hath shown.,8
"They look into the beauty of thy mind,",9
"And that, in guess, they measure by thy deeds;",10
"Then, churls, their thoughts, although their eyes were kind,",11
To thy fair flower add the rank smell of weeds:,12
"But why thy odour matcheth not thy show,",13
"The solve is this, that thou dost common grow.",14
