line,line_number
"Since brass, nor stone, nor earth, nor boundless sea,",1
"But sad mortality o'er-sways their power,",2
"How with this rage shall beauty hold a plea,",3
Whose action is no stronger than a flower?,4
"O, how shall summer's honey breath hold out",5
"Against the wreckful siege of battering days,",6
"When rocks impregnable are not so stout,",7
"Nor gates of steel so strong, but Time decays?",8
"O fearful meditation! where, alack,",9
Shall Time's best jewel from Time's chest lie hid?,10
Or what strong hand can hold his swift foot back?,11
Or who his spoil of beauty can forbid?,12
"O, none, unless this miracle have might,",13
That in black ink my love may still shine bright.,14
