line,line_number
"Ah! wherefore with infection should he live,",1
"And with his presence grace impiety,",2
That sin by him advantage should achieve,3
And lace itself with his society?,4
Why should false painting imitate his cheek,5
And steal dead seeing of his living hue?,6
Why should poor beauty indirectly seek,7
"Roses of shadow, since his rose is true?",8
"Why should he live, now Nature bankrupt is,",9
Beggar'd of blood to blush through lively veins?,10
"For she hath no exchequer now but his,",11
"And, proud of many, lives upon his gains.",12
"O, him she stores, to show what wealth she had",13
"In days long since, before these last so bad.",14
