line,line_number
No longer mourn for me when I am dead,1
Then you shall hear the surly sullen bell,2
Give warning to the world that I am fled,3
"From this vile world, with vilest worms to dwell:",4
"Nay, if you read this line, remember not",5
The hand that writ it; for I love you so,6
That I in your sweet thoughts would be forgot,7
If thinking on me then should make you woe.,8
"O, if, I say, you look upon this verse",9
"When I perhaps compounded am with clay,",10
Do not so much as my poor name rehearse.,11
"But let your love even with my life decay,",12
Lest the wise world should look into your moan,13
And mock you with me after I am gone.,14
