line,line_number
"O, lest the world should task you to recite",1
"What merit lived in me, that you should love",2
"After my death, dear love, forget me quite,",3
For you in me can nothing worthy prove;,4
"Unless you would devise some virtuous lie,",5
"To do more for me than mine own desert,",6
And hang more praise upon deceased I,7
Than niggard truth would willingly impart:,8
"O, lest your true love may seem false in this,",9
"That you for love speak well of me untrue,",10
"My name be buried where my body is,",11
And live no more to shame nor me nor you.,12
"For I am shamed by that which I bring forth,",13
"And so should you, to love things nothing worth.",14
