line,line_number
But be contented: when that fell arrest,1
"Without all bail shall carry me away,",2
"My life hath in this line some interest,",3
Which for memorial still with thee shall stay.,4
"When thou reviewest this, thou dost review",5
The very part was consecrate to thee:,6
"The earth can have but earth, which is his due;",7
"My spirit is thine, the better part of me:",8
"So then thou hast but lost the dregs of life,",9
"The prey of worms, my body being dead,",10
"The coward conquest of a wretch's knife,",11
Too base of thee to be remembered.,12
"The worth of that is that which it contains,",13
"And that is this, and this with thee remains.",14
