line,line_number
"Whilst I alone did call upon thy aid,",1
"My verse alone had all thy gentle grace,",2
But now my gracious numbers are decay'd,3
And my sick Muse doth give another place.,4
"I grant, sweet love, thy lovely argument",5
"Deserves the travail of a worthier pen,",6
Yet what of thee thy poet doth invent,7
He robs thee of and pays it thee again.,8
He lends thee virtue and he stole that word,9
From thy behavior; beauty doth he give,10
And found it in thy cheek; he can afford,11
No praise to thee but what in thee doth live.,12
"Then thank him not for that which he doth say,",13
Since what he owes thee thou thyself dost pay.,14
