line,line_number
"Why is my verse so barren of new pride,",1
So far from variation or quick change?,2
Why with the time do I not glance aside,3
To new-found methods and to compounds strange?,4
"Why write I still all one, ever the same,",5
"And keep invention in a noted weed,",6
"That every word doth almost tell my name,",7
Showing their birth and where they did proceed?,8
"O, know, sweet love, I always write of you,",9
And you and love are still my argument;,10
"So all my best is dressing old words new,",11
Spending again what is already spent:,12
"For as the sun is daily new and old,",13
So is my love still telling what is told.,14
