line,line_number
So oft have I invoked thee for my Muse,1
And found such fair assistance in my verse,2
As every alien pen hath got my use,3
And under thee their poesy disperse.,4
Thine eyes that taught the dumb on high to sing,5
And heavy ignorance aloft to fly,6
Have added feathers to the learned's wing,7
And given grace a double majesty.,8
"Yet be most proud of that which I compile,",9
Whose influence is thine and born of thee:,10
"In others' works thou dost but mend the style,",11
And arts with thy sweet graces graced be;,12
But thou art all my art and dost advance,13
As high as learning my rude ignorance.,14
