line,line_number
I never saw that you did painting need,1
And therefore to your fair no painting set;,2
"I found, or thought I found, you did exceed",3
The barren tender of a poet's debt;,4
"And therefore have I slept in your report,",5
That you yourself being extant well might show,6
"How far a modern quill doth come too short,",7
"Speaking of worth, what worth in you doth grow.",8
"This silence for my sin you did impute,",9
"Which shall be most my glory, being dumb;",10
"For I impair not beauty being mute,",11
When others would give life and bring a tomb.,12
There lives more life in one of your fair eyes,13
Than both your poets can in praise devise.,14
