line,line_number
Who is it that says most? which can say more,1
"Than this rich praise, that you alone are you?",2
In whose confine immured is the store,3
Which should example where your equal grew.,4
Lean penury within that pen doth dwell,5
That to his subject lends not some small glory;,6
"But he that writes of you, if he can tell",7
"That you are you, so dignifies his story,",8
"Let him but copy what in you is writ,",9
"Not making worse what nature made so clear,",10
"And such a counterpart shall fame his wit,",11
Making his style admired every where.,12
"You to your beauteous blessings add a curse,",13
"Being fond on praise, which makes your praises worse.",14
