line,line_number
"Say that thou didst forsake me for some fault,",1
And I will comment upon that offence;,2
"Speak of my lameness, and I straight will halt,",3
Against thy reasons making no defence.,4
"Thou canst not, love, disgrace me half so ill,",5
"To set a form upon desired change,",6
"As I'll myself disgrace: knowing thy will,",7
"I will acquaintance strangle and look strange,",8
"Be absent from thy walks, and in my tongue",9
"Thy sweet beloved name no more shall dwell,",10
"Lest I, too much profane, should do it wrong",11
And haply of our old acquaintance tell.,12
"For thee against myself I'll vow debate,",13
For I must ne'er love him whom thou dost hate.,14
