line,line_number
"My tongue-tied Muse in manners holds her still,",1
"While comments of your praise, richly compiled,",2
Reserve their character with golden quill,3
And precious phrase by all the Muses filed.,4
"I think good thoughts whilst other write good words,",5
And like unletter'd clerk still cry 'Amen',6
To every hymn that able spirit affords,7
In polish'd form of well-refined pen.,8
"Hearing you praised, I say ''Tis so, 'tis true,'",9
And to the most of praise add something more;,10
"But that is in my thought, whose love to you,",11
"Though words come hindmost, holds his rank before.",12
"Then others for the breath of words respect,",13
"Me for my dumb thoughts, speaking in effect.",14
