line,line_number
"Farewell! thou art too dear for my possessing,",1
And like enough thou know'st thy estimate:,2
The charter of thy worth gives thee releasing;,3
My bonds in thee are all determinate.,4
For how do I hold thee but by thy granting?,5
And for that riches where is my deserving?,6
"The cause of this fair gift in me is wanting,",7
And so my patent back again is swerving.,8
"Thyself thou gavest, thy own worth then not knowing,",9
"Or me, to whom thou gavest it, else mistaking;",10
"So thy great gift, upon misprision growing,",11
"Comes home again, on better judgment making.",12
"Thus have I had thee, as a dream doth flatter,",13
"In sleep a king, but waking no such matter.",14
