line,line_number
"When thou shalt be disposed to set me light,",1
"And place my merit in the eye of scorn,",2
"Upon thy side against myself I'll fight,",3
"And prove thee virtuous, though thou art forsworn.",4
"With mine own weakness being best acquainted,",5
Upon thy part I can set down a story,6
"Of faults conceal'd, wherein I am attainted,",7
That thou in losing me shalt win much glory:,8
And I by this will be a gainer too;,9
"For bending all my loving thoughts on thee,",10
"The injuries that to myself I do,",11
"Doing thee vantage, double-vantage me.",12
"Such is my love, to thee I so belong,",13
That for thy right myself will bear all wrong.,14
