line,line_number
Then let not winter's ragged hand deface,1
"In thee thy summer, ere thou be distill'd:",2
Make sweet some vial; treasure thou some place,3
"With beauty's treasure, ere it be self-kill'd.",4
"That use is not forbidden usury,",5
Which happies those that pay the willing loan;,6
"That's for thyself to breed another thee,",7
"Or ten times happier, be it ten for one;",8
"Ten times thyself were happier than thou art,",9
If ten of thine ten times refigured thee:,10
"Then what could death do, if thou shouldst depart,",11
Leaving thee living in posterity?,12
"Be not self-will'd, for thou art much too fair",13
To be death's conquest and make worms thine heir.,14
