line,line_number
Lo! in the orient when the gracious light,1
"Lifts up his burning head, each under eye",2
"Doth homage to his new-appearing sight,",3
Serving with looks his sacred majesty;,4
"And having climb'd the steep-up heavenly hill,",5
"Resembling strong youth in his middle age,",6
"yet mortal looks adore his beauty still,",7
Attending on his golden pilgrimage;,8
"But when from highmost pitch, with weary car,",9
"Like feeble age, he reeleth from the day,",10
"The eyes, 'fore duteous, now converted are",11
From his low tract and look another way:,12
"So thou, thyself out-going in thy noon,",13
"Unlook'd on diest, unless thou get a son.",14
