line,line_number
"Music to hear, why hear'st thou music sadly?",1
"Sweets with sweets war not, joy delights in joy.",2
"Why lovest thou that which thou receivest not gladly,",3
Or else receivest with pleasure thine annoy?,4
"If the true concord of well-tuned sounds,",5
"By unions married, do offend thine ear,",6
"They do but sweetly chide thee, who confounds",7
In singleness the parts that thou shouldst bear.,8
"Mark how one string, sweet husband to another,",9
"Strikes each in each by mutual ordering,",10
Resembling sire and child and happy mother,11
"Who all in one, one pleasing note do sing:",12
"Whose speechless song, being many, seeming one,",13
Sings this to thee: 'thou single wilt prove none.',14
