line,line_number
"For shame! deny that thou bear'st love to any,",1
Who for thyself art so unprovident.,2
"Grant, if thou wilt, thou art beloved of many,",3
But that thou none lovest is most evident;,4
For thou art so possess'd with murderous hate,5
That 'gainst thyself thou stick'st not to conspire.,6
Seeking that beauteous roof to ruinate,7
Which to repair should be thy chief desire.,8
"O, change thy thought, that I may change my mind!",9
Shall hate be fairer lodged than gentle love?,10
"Be, as thy presence is, gracious and kind,",11
Or to thyself at least kind-hearted prove:,12
"Make thee another self, for love of me,",13
That beauty still may live in thine or thee.,14
