line,line_number
"Some glory in their birth, some in their skill,",1
"Some in their wealth, some in their bodies' force,",2
"Some in their garments, though new-fangled ill,",3
"Some in their hawks and hounds, some in their horse;",4
"And every humour hath his adjunct pleasure,",5
Wherein it finds a joy above the rest:,6
But these particulars are not my measure;,7
All these I better in one general best.,8
"Thy love is better than high birth to me,",9
"Richer than wealth, prouder than garments' cost,",10
Of more delight than hawks or horses be;,11
"And having thee, of all men's pride I boast:",12
"Wretched in this alone, that thou mayst take",13
All this away and me most wretched make.,14
