line,line_number
"So shall I live, supposing thou art true,",1
Like a deceived husband; so love's face,2
"May still seem love to me, though alter'd new;",3
"Thy looks with me, thy heart in other place:",4
"For there can live no hatred in thine eye,",5
Therefore in that I cannot know thy change.,6
In many's looks the false heart's history,7
"Is writ in moods and frowns and wrinkles strange,",8
But heaven in thy creation did decree,9
That in thy face sweet love should ever dwell;,10
"Whate'er thy thoughts or thy heart's workings be,",11
Thy looks should nothing thence but sweetness tell.,12
"How like Eve's apple doth thy beauty grow,",13
if thy sweet virtue answer not thy show!,14
