line,line_number
"They that have power to hurt and will do none,",1
"That do not do the thing they most do show,",2
"Who, moving others, are themselves as stone,",3
"Unmoved, cold, and to temptation slow,",4
They rightly do inherit heaven's graces,5
And husband nature's riches from expense;,6
"They are the lords and owners of their faces,",7
Others but stewards of their excellence.,8
"The summer's flower is to the summer sweet,",9
"Though to itself it only live and die,",10
"But if that flower with base infection meet,",11
The basest weed outbraves his dignity:,12
For sweetest things turn sourest by their deeds;,13
Lilies that fester smell far worse than weeds.,14
