line,line_number
"Some say thy fault is youth, some wantonness;",1
Some say thy grace is youth and gentle sport;,2
Both grace and faults are loved of more and less;,3
Thou makest faults graces that to thee resort.,4
As on the finger of a throned queen,5
"The basest jewel will be well esteem'd,",6
So are those errors that in thee are seen,7
To truths translated and for true things deem'd.,8
"How many lambs might the stem wolf betray,",9
If like a lamb he could his looks translate!,10
"How many gazers mightst thou lead away,",11
If thou wouldst use the strength of all thy state!,12
But do not so; I love thee in such sort,13
"As, thou being mine, mine is thy good report.",14
