line,line_number
How like a winter hath my absence been,1
"From thee, the pleasure of the fleeting year!",2
"What freezings have I felt, what dark days seen!",3
What old December's bareness every where!,4
"And yet this time removed was summer's time,",5
"The teeming autumn, big with rich increase,",6
"Bearing the wanton burden of the prime,",7
Like widow'd wombs after their lords' decease:,8
Yet this abundant issue seem'd to me,9
But hope of orphans and unfather'd fruit;,10
"For summer and his pleasures wait on thee,",11
"And, thou away, the very birds are mute;",12
"Or, if they sing, 'tis with so dull a cheer",13
"That leaves look pale, dreading the winter's near.",14
