line,line_number
"As fast as thou shalt wane, so fast thou growest",1
"In one of thine, from that which thou departest;",2
And that fresh blood which youngly thou bestowest,3
Thou mayst call thine when thou from youth convertest.,4
"Herein lives wisdom, beauty and increase:",5
"Without this, folly, age and cold decay:",6
"If all were minded so, the times should cease",7
And threescore year would make the world away.,8
"Let those whom Nature hath not made for store,",9
"Harsh featureless and rude, barrenly perish:",10
"Look, whom she best endow'd she gave the more;",11
Which bounteous gift thou shouldst in bounty cherish:,12
"She carved thee for her seal, and meant thereby",13
"Thou shouldst print more, not let that copy die.",14
