line,line_number
"When I do count the clock that tells the time,",1
And see the brave day sunk in hideous night;,2
"When I behold the violet past prime,",3
And sable curls all silver'd o'er with white;,4
When lofty trees I see barren of leaves,5
"Which erst from heat did canopy the herd,",6
And summer's green all girded up in sheaves,7
"Borne on the bier with white and bristly beard,",8
"Then of thy beauty do I question make,",9
"That thou among the wastes of time must go,",10
Since sweets and beauties do themselves forsake,11
And die as fast as they see others grow;,12
And nothing 'gainst Time's scythe can make defence,13
"Save breed, to brave him when he takes thee hence.",14
