line,line_number
"When most I wink, then do mine eyes best see,",1
For all the day they view things unrespected;,2
"But when I sleep, in dreams they look on thee,",3
And darkly bright are bright in dark directed.,4
"Then thou, whose shadow shadows doth make bright,",5
How would thy shadow's form form happy show,6
"To the clear day with thy much clearer light,",7
When to unseeing eyes thy shade shines so!,8
"How would, I say, mine eyes be blessed made",9
"By looking on thee in the living day,",10
When in dead night thy fair imperfect shade,11
Through heavy sleep on sightless eyes doth stay!,12
"All days are nights to see till I see thee,",13
And nights bright days when dreams do show thee me.,14
