line,line_number
"If the dull substance of my flesh were thought,",1
Injurious distance should not stop my way;,2
"For then despite of space I would be brought,",3
From limits far remote where thou dost stay.,4
No matter then although my foot did stand,5
Upon the farthest earth removed from thee;,6
For nimble thought can jump both sea and land,7
As soon as think the place where he would be.,8
"But ah! thought kills me that I am not thought,",9
"To leap large lengths of miles when thou art gone,",10
But that so much of earth and water wrought,11
"I must attend time's leisure with my moan,",12
Receiving nought by elements so slow,13
"But heavy tears, badges of either's woe.",14
