line,line_number
"Against that time, if ever that time come,",1
"When I shall see thee frown on my defects,",2
"When as thy love hath cast his utmost sum,",3
Call'd to that audit by advised respects;,4
Against that time when thou shalt strangely pass,5
"And scarcely greet me with that sun thine eye,",6
"When love, converted from the thing it was,",7
"Shall reasons find of settled gravity,--",8
Against that time do I ensconce me here,9
"Within the knowledge of mine own desert,",10
"And this my hand against myself uprear,",11
To guard the lawful reasons on thy part:,12
"To leave poor me thou hast the strength of laws,",13
Since why to love I can allege no cause.,14
