line,line_number
"The other two, slight air and purging fire,",1
"Are both with thee, wherever I abide;",2
"The first my thought, the other my desire,",3
These present-absent with swift motion slide.,4
For when these quicker elements are gone,5
"In tender embassy of love to thee,",6
"My life, being made of four, with two alone",7
"Sinks down to death, oppress'd with melancholy;",8
Until life's composition be recured,9
"By those swift messengers return'd from thee,",10
"Who even but now come back again, assured",11
"Of thy fair health, recounting it to me:",12
"This told, I joy; but then no longer glad,",13
I send them back again and straight grow sad.,14
