line,line_number
Mine eye and heart are at a mortal war,1
How to divide the conquest of thy sight;,2
"Mine eye my heart thy picture's sight would bar,",3
My heart mine eye the freedom of that right.,4
My heart doth plead that thou in him dost lie--,5
A closet never pierced with crystal eyes--,6
But the defendant doth that plea deny,7
And says in him thy fair appearance lies.,8
To 'cide this title is impanneled,9
"A quest of thoughts, all tenants to the heart,",10
And by their verdict is determined,11
The clear eye's moiety and the dear heart's part:,12
"As thus; mine eye's due is thy outward part,",13
And my heart's right thy inward love of heart.,14
