line,line_number
"Betwixt mine eye and heart a league is took,",1
And each doth good turns now unto the other:,2
"When that mine eye is famish'd for a look,",3
"Or heart in love with sighs himself doth smother,",4
With my love's picture then my eye doth feast,5
And to the painted banquet bids my heart;,6
Another time mine eye is my heart's guest,7
And in his thoughts of love doth share a part:,8
"So, either by thy picture or my love,",9
Thyself away art resent still with me;,10
"For thou not farther than my thoughts canst move,",11
And I am still with them and they with thee;,12
"Or, if they sleep, thy picture in my sight",13
Awakes my heart to heart's and eye's delight.,14
