line,line_number
When I consider every thing that grows,1
"Holds in perfection but a little moment,",2
That this huge stage presenteth nought but shows,3
Whereon the stars in secret influence comment;,4
"When I perceive that men as plants increase,",5
"Cheered and cheque'd even by the self-same sky,",6
"Vaunt in their youthful sap, at height decrease,",7
And wear their brave state out of memory;,8
Then the conceit of this inconstant stay,9
"Sets you most rich in youth before my sight,",10
"Where wasteful Time debateth with Decay,",11
To change your day of youth to sullied night;,12
"And all in war with Time for love of you,",13
"As he takes from you, I engraft you new.",14
