line,line_number
But wherefore do not you a mightier way,1
"Make war upon this bloody tyrant, Time?",2
And fortify yourself in your decay,3
With means more blessed than my barren rhyme?,4
"Now stand you on the top of happy hours,",5
And many maiden gardens yet unset,6
"With virtuous wish would bear your living flowers,",7
Much liker than your painted counterfeit:,8
"So should the lines of life that life repair,",9
"Which this, Time's pencil, or my pupil pen,",10
"Neither in inward worth nor outward fair,",11
Can make you live yourself in eyes of men.,12
"To give away yourself keeps yourself still,",13
"And you must live, drawn by your own sweet skill.",14
