line,line_number
"Who will believe my verse in time to come,",1
If it were fill'd with your most high deserts?,2
"Though yet, heaven knows, it is but as a tomb",3
Which hides your life and shows not half your parts.,4
If I could write the beauty of your eyes,5
"And in fresh numbers number all your graces,",6
The age to come would say 'This poet lies:,7
Such heavenly touches ne'er touch'd earthly faces.',8
So should my papers yellow'd with their age,9
"Be scorn'd like old men of less truth than tongue,",10
And your true rights be term'd a poet's rage,11
And stretched metre of an antique song:,12
"But were some child of yours alive that time,",13
You should live twice; in it and in my rhyme.,14
