line,line_number
As an unperfect actor on the stage,1
"Who with his fear is put besides his part,",2
"Or some fierce thing replete with too much rage,",3
Whose strength's abundance weakens his own heart.,4
"So I, for fear of trust, forget to say",5
"The perfect ceremony of love's rite,",6
"And in mine own love's strength seem to decay,",7
O'ercharged with burden of mine own love's might.,8
"O, let my books be then the eloquence",9
"And dumb presagers of my speaking breast,",10
Who plead for love and look for recompense,11
More than that tongue that more hath more express'd.,12
"O, learn to read what silent love hath writ:",13
To hear with eyes belongs to love's fine wit.,14
