line,line_number
Mine eye hath play'd the painter and hath stell'd,1
Thy beauty's form in table of my heart;,2
"My body is the frame wherein 'tis held,",3
And perspective it is the painter's art.,4
"For through the painter must you see his skill,",5
To find where your true image pictured lies;,6
"Which in my bosom's shop is hanging still,",7
That hath his windows glazed with thine eyes.,8
Now see what good turns eyes for eyes have done:,9
"Mine eyes have drawn thy shape, and thine for me",10
"Are windows to my breast, where-through the sun",11
"Delights to peep, to gaze therein on thee;",12
Yet eyes this cunning want to grace their art;,13
"They draw but what they see, know not the heart.",14
