line,line_number
Let those who are in favour with their stars,1
"Of public honour and proud titles boast,",2
"Whilst I, whom fortune of such triumph bars,",3
Unlook'd for joy in that I honour most.,4
Great princes' favourites their fair leaves spread,5
"But as the marigold at the sun's eye,",6
"And in themselves their pride lies buried,",7
For at a frown they in their glory die.,8
"The painful warrior famoused for fight,",9
"After a thousand victories once foil'd,",10
"Is from the book of honour razed quite,",11
And all the rest forgot for which he toil'd:,12
"Then happy I, that love and am beloved",13
Where I may not remove nor be removed.,14
