line,line_number
When to the sessions of sweet silent thought,1
"I summon up remembrance of things past,",2
"I sigh the lack of many a thing I sought,",3
And with old woes new wail my dear time's waste:,4
"Then can I drown an eye, unused to flow,",5
"For precious friends hid in death's dateless night,",6
"And weep afresh love's long since cancell'd woe,",7
And moan the expense of many a vanish'd sight:,8
"Then can I grieve at grievances foregone,",9
And heavily from woe to woe tell o'er,10
"The sad account of fore-bemoaned moan,",11
Which I new pay as if not paid before.,12
"But if the while I think on thee, dear friend,",13
All losses are restored and sorrows end.,14
