line,line_number
"If thou survive my well-contented day,",1
"When that churl Death my bones with dust shall cover,",2
And shalt by fortune once more re-survey,3
"These poor rude lines of thy deceased lover,",4
"Compare them with the bettering of the time,",5
"And though they be outstripp'd by every pen,",6
"Reserve them for my love, not for their rhyme,",7
Exceeded by the height of happier men.,8
"O, then vouchsafe me but this loving thought:",9
"'Had my friend's Muse grown with this growing age,",10
"A dearer birth than this his love had brought,",11
To march in ranks of better equipage:,12
"But since he died and poets better prove,",13
"Theirs for their style I'll read, his for his love.'",14
