line,line_number
Full many a glorious morning have I seen,1
"Flatter the mountain-tops with sovereign eye,",2
"Kissing with golden face the meadows green,",3
Gilding pale streams with heavenly alchemy;,4
Anon permit the basest clouds to ride,5
"With ugly rack on his celestial face,",6
"And from the forlorn world his visage hide,",7
Stealing unseen to west with this disgrace:,8
Even so my sun one early morn did shine,9
With all triumphant splendor on my brow;,10
"But out, alack! he was but one hour mine;",11
The region cloud hath mask'd him from me now.,12
Yet him for this my love no whit disdaineth;,13
Suns of the world may stain when heaven's sun staineth.,14
