line,line_number
"Why didst thou promise such a beauteous day,",1
"And make me travel forth without my cloak,",2
"To let base clouds o'ertake me in my way,",3
Hiding thy bravery in their rotten smoke?,4
"'Tis not enough that through the cloud thou break,",5
"To dry the rain on my storm-beaten face,",6
For no man well of such a salve can speak,7
That heals the wound and cures not the disgrace:,8
Nor can thy shame give physic to my grief;,9
"Though thou repent, yet I have still the loss:",10
The offender's sorrow lends but weak relief,11
To him that bears the strong offence's cross.,12
"Ah! but those tears are pearl which thy love sheds,",13
And they are rich and ransom all ill deeds.,14
