line,line_number
"O, how thy worth with manners may I sing,",1
When thou art all the better part of me?,2
What can mine own praise to mine own self bring?,3
And what is 't but mine own when I praise thee?,4
"Even for this let us divided live,",5
"And our dear love lose name of single one,",6
That by this separation I may give,7
That due to thee which thou deservest alone.,8
"O absence, what a torment wouldst thou prove,",9
Were it not thy sour leisure gave sweet leave,10
"To entertain the time with thoughts of love,",11
"Which time and thoughts so sweetly doth deceive,",12
"And that thou teachest how to make one twain,",13
By praising him here who doth hence remain!,14
