line,line_number
As a decrepit father takes delight,1
"To see his active child do deeds of youth,",2
"So I, made lame by fortune's dearest spite,",3
Take all my comfort of thy worth and truth.,4
"For whether beauty, birth, or wealth, or wit,",5
"Or any of these all, or all, or more,",6
"Entitled in thy parts do crowned sit,",7
I make my love engrafted to this store:,8
"So then I am not lame, poor, nor despised,",9
Whilst that this shadow doth such substance give,10
That I in thy abundance am sufficed,11
And by a part of all thy glory live.,12
"Look, what is best, that best I wish in thee:",13
This wish I have; then ten times happy me!,14
