act,scene,character,dialogue,line_number
NA,Scene I,[stage direction],Enter Hostess and SLY,NA
NA,Scene I,Sly,"I'll pheeze you, in faith.",1
NA,Scene I,Hostess,"A pair of stocks, you rogue!",2
NA,Scene I,Sly,Ye are a baggage: the Slys are no rogues; look in,3
NA,Scene I,Sly,the chronicles; we came in with Richard Conqueror.,4
NA,Scene I,Sly,Therefore paucas pallabris; let the world slide: sessa!,5
NA,Scene I,Hostess,You will not pay for the glasses you have burst?,6
NA,Scene I,Sly,"No, not a denier. Go by, Jeronimy: go to thy cold",7
NA,Scene I,Sly,"bed, and warm thee.",8
NA,Scene I,Hostess,I know my remedy; I must go fetch the,9
NA,Scene I,Hostess,third--borough.,10
NA,Scene I,[stage direction],Exit,NA
NA,Scene I,Sly,"Third, or fourth, or fifth borough, I'll answer him",11
NA,Scene I,Sly,"by law: I'll not budge an inch, boy: let him come,",12
NA,Scene I,Sly,and kindly.,13
NA,Scene I,[stage direction],Falls asleep,NA
NA,Scene I,[stage direction],"Horns winded. Enter a Lord from hunting, with his train",NA
NA,Scene I,Lord,"Huntsman, I charge thee, tender well my hounds:",14
NA,Scene I,Lord,"Brach Merriman, the poor cur is emboss'd;",15
NA,Scene I,Lord,And couple Clowder with the deep--mouth'd brach.,16
NA,Scene I,Lord,"Saw'st thou not, boy, how Silver made it good",17
NA,Scene I,Lord,"At the hedge-corner, in the coldest fault?",18
NA,Scene I,Lord,I would not lose the dog for twenty pound.,19
NA,Scene I,First Huntsman,"Why, Belman is as good as he, my lord;",20
NA,Scene I,First Huntsman,He cried upon it at the merest loss,21
NA,Scene I,First Huntsman,And twice to-day pick'd out the dullest scent:,22
NA,Scene I,First Huntsman,"Trust me, I take him for the better dog.",23
NA,Scene I,Lord,"Thou art a fool: if Echo were as fleet,",24
NA,Scene I,Lord,I would esteem him worth a dozen such.,25
NA,Scene I,Lord,But sup them well and look unto them all:,26
NA,Scene I,Lord,To-morrow I intend to hunt again.,27
NA,Scene I,First Huntsman,"I will, my lord.",28
NA,Scene I,Lord,"What's here? one dead, or drunk? See, doth he breathe?",29
NA,Scene I,Second Huntsman,"He breathes, my lord. Were he not warm'd with ale,",30
NA,Scene I,Second Huntsman,This were a bed but cold to sleep so soundly.,31
NA,Scene I,Lord,O monstrous beast! how like a swine he lies!,32
NA,Scene I,Lord,"Grim death, how foul and loathsome is thine image!",33
NA,Scene I,Lord,"Sirs, I will practise on this drunken man.",34
NA,Scene I,Lord,"What think you, if he were convey'd to bed,",35
NA,Scene I,Lord,"Wrapp'd in sweet clothes, rings put upon his fingers,",36
NA,Scene I,Lord,"A most delicious banquet by his bed,",37
NA,Scene I,Lord,"And brave attendants near him when he wakes,",38
NA,Scene I,Lord,Would not the beggar then forget himself?,39
NA,Scene I,First Huntsman,"Believe me, lord, I think he cannot choose.",40
NA,Scene I,Second Huntsman,It would seem strange unto him when he waked.,41
NA,Scene I,Lord,Even as a flattering dream or worthless fancy.,42
NA,Scene I,Lord,Then take him up and manage well the jest:,43
NA,Scene I,Lord,Carry him gently to my fairest chamber,44
NA,Scene I,Lord,And hang it round with all my wanton pictures:,45
NA,Scene I,Lord,Balm his foul head in warm distilled waters,46
NA,Scene I,Lord,And burn sweet wood to make the lodging sweet:,47
NA,Scene I,Lord,"Procure me music ready when he wakes,",48
NA,Scene I,Lord,To make a dulcet and a heavenly sound;,49
NA,Scene I,Lord,"And if he chance to speak, be ready straight",50
NA,Scene I,Lord,And with a low submissive reverence,51
NA,Scene I,Lord,Say 'What is it your honour will command?',52
NA,Scene I,Lord,Let one attend him with a silver basin,53
NA,Scene I,Lord,"Full of rose-water and bestrew'd with flowers,",54
NA,Scene I,Lord,"Another bear the ewer, the third a diaper,",55
NA,Scene I,Lord,And say 'Will't please your lordship cool your hands?',56
NA,Scene I,Lord,Some one be ready with a costly suit,57
NA,Scene I,Lord,And ask him what apparel he will wear;,58
NA,Scene I,Lord,"Another tell him of his hounds and horse,",59
NA,Scene I,Lord,And that his lady mourns at his disease:,60
NA,Scene I,Lord,Persuade him that he hath been lunatic;,61
NA,Scene I,Lord,"And when he says he is, say that he dreams,",62
NA,Scene I,Lord,For he is nothing but a mighty lord.,63
NA,Scene I,Lord,"This do and do it kindly, gentle sirs:",64
NA,Scene I,Lord,"It will be pastime passing excellent,",65
NA,Scene I,Lord,If it be husbanded with modesty.,66
NA,Scene I,First Huntsman,"My lord, I warrant you we will play our part,",67
NA,Scene I,First Huntsman,As he shall think by our true diligence,68
NA,Scene I,First Huntsman,He is no less than what we say he is.,69
NA,Scene I,Lord,Take him up gently and to bed with him;,70
NA,Scene I,Lord,And each one to his office when he wakes.,71
NA,Scene I,[stage direction],Some bear out SLY. A trumpet sounds,NA
NA,Scene I,Lord,"Sirrah, go see what trumpet 'tis that sounds:",72
NA,Scene I,[stage direction],Exit Servingman,NA
NA,Scene I,Lord,"Belike, some noble gentleman that means,",73
NA,Scene I,Lord,"Travelling some journey, to repose him here.",74
NA,Scene I,[stage direction],Re-enter Servingman,NA
NA,Scene I,Lord,How now! who is it?,75
NA,Scene I,Servant,"An't please your honour, players",76
NA,Scene I,Servant,That offer service to your lordship.,77
NA,Scene I,Lord,Bid them come near.,78
NA,Scene I,[stage direction],Enter Players,NA
NA,Scene I,Lord,"Now, fellows, you are welcome.",79
NA,Scene I,Players,We thank your honour.,80
NA,Scene I,Lord,Do you intend to stay with me tonight?,81
NA,Scene I,A Player,So please your lordship to accept our duty.,82
NA,Scene I,Lord,"With all my heart. This fellow I remember,",83
NA,Scene I,Lord,Since once he play'd a farmer's eldest son:,84
NA,Scene I,Lord,'Twas where you woo'd the gentlewoman so well:,85
NA,Scene I,Lord,"I have forgot your name; but, sure, that part",86
NA,Scene I,Lord,Was aptly fitted and naturally perform'd.,87
NA,Scene I,A Player,I think 'twas Soto that your honour means.,88
NA,Scene I,Lord,'Tis very true: thou didst it excellent.,89
NA,Scene I,Lord,"Well, you are come to me in a happy time;",90
NA,Scene I,Lord,The rather for I have some sport in hand,91
NA,Scene I,Lord,Wherein your cunning can assist me much.,92
NA,Scene I,Lord,There is a lord will hear you play to-night:,93
NA,Scene I,Lord,But I am doubtful of your modesties;,94
NA,Scene I,Lord,"Lest over-eyeing of his odd behavior,--",95
NA,Scene I,Lord,For yet his honour never heard a play--,96
NA,Scene I,Lord,You break into some merry passion,97
NA,Scene I,Lord,"And so offend him; for I tell you, sirs,",98
NA,Scene I,Lord,If you should smile he grows impatient.,99
NA,Scene I,A Player,"Fear not, my lord: we can contain ourselves,",100
NA,Scene I,A Player,Were he the veriest antic in the world.,101
NA,Scene I,Lord,"Go, sirrah, take them to the buttery,",102
NA,Scene I,Lord,And give them friendly welcome every one:,103
NA,Scene I,Lord,Let them want nothing that my house affords.,104
NA,Scene I,[stage direction],Exit one with the Players,NA
NA,Scene I,Lord,"Sirrah, go you to Barthol'mew my page,",105
NA,Scene I,Lord,And see him dress'd in all suits like a lady:,106
NA,Scene I,Lord,"That done, conduct him to the drunkard's chamber;",107
NA,Scene I,Lord,"And call him 'madam,' do him obeisance.",108
NA,Scene I,Lord,"Tell him from me, as he will win my love,",109
NA,Scene I,Lord,"He bear himself with honourable action,",110
NA,Scene I,Lord,Such as he hath observed in noble ladies,111
NA,Scene I,Lord,"Unto their lords, by them accomplished:",112
NA,Scene I,Lord,Such duty to the drunkard let him do,113
NA,Scene I,Lord,"With soft low tongue and lowly courtesy,",114
NA,Scene I,Lord,"And say 'What is't your honour will command,",115
NA,Scene I,Lord,Wherein your lady and your humble wife,116
NA,Scene I,Lord,May show her duty and make known her love?',117
NA,Scene I,Lord,"And then with kind embracements, tempting kisses,",118
NA,Scene I,Lord,"And with declining head into his bosom,",119
NA,Scene I,Lord,"Bid him shed tears, as being overjoy'd",120
NA,Scene I,Lord,"To see her noble lord restored to health,",121
NA,Scene I,Lord,Who for this seven years hath esteem'd him,122
NA,Scene I,Lord,No better than a poor and loathsome beggar:,123
NA,Scene I,Lord,And if the boy have not a woman's gift,124
NA,Scene I,Lord,"To rain a shower of commanded tears,",125
NA,Scene I,Lord,"An onion will do well for such a shift,",126
NA,Scene I,Lord,Which in a napkin being close convey'd,127
NA,Scene I,Lord,Shall in despite enforce a watery eye.,128
NA,Scene I,Lord,See this dispatch'd with all the haste thou canst:,129
NA,Scene I,Lord,Anon I'll give thee more instructions.,130
NA,Scene I,[stage direction],Exit a Servingman,NA
NA,Scene I,Lord,"I know the boy will well usurp the grace,",131
NA,Scene I,Lord,"Voice, gait and action of a gentlewoman:",132
NA,Scene I,Lord,"I long to hear him call the drunkard husband,",133
NA,Scene I,Lord,And how my men will stay themselves from laughter,134
NA,Scene I,Lord,When they do homage to this simple peasant.,135
NA,Scene I,Lord,I'll in to counsel them; haply my presence,136
NA,Scene I,Lord,May well abate the over-merry spleen,137
NA,Scene I,Lord,Which otherwise would grow into extremes.,138
NA,Scene I,[stage direction],Exeunt,NA
NA,Scene II,[stage direction],"Enter aloft SLY, with Attendants; some with apparel, others with basin and ewer and appurtenances; and Lord",NA
NA,Scene II,Sly,"For God's sake, a pot of small ale.",139
NA,Scene II,First Servant,Will't please your lordship drink a cup of sack?,140
NA,Scene II,Second Servant,Will't please your honour taste of these conserves?,141
NA,Scene II,Third Servant,What raiment will your honour wear to-day?,142
NA,Scene II,Sly,I am Christophero Sly; call not me 'honour' nor,143
NA,Scene II,Sly,'lordship:' I ne'er drank sack in my life; and if,144
NA,Scene II,Sly,"you give me any conserves, give me conserves of",145
NA,Scene II,Sly,beef: ne'er ask me what raiment I'll wear; for I,146
NA,Scene II,Sly,"have no more doublets than backs, no more stockings",147
NA,Scene II,Sly,"than legs, nor no more shoes than feet; nay,",148
NA,Scene II,Sly,"sometimes more feet than shoes, or such shoes as my",149
NA,Scene II,Sly,toes look through the over-leather.,150
NA,Scene II,Lord,Heaven cease this idle humour in your honour!,151
NA,Scene II,Lord,"O, that a mighty man of such descent,",152
NA,Scene II,Lord,"Of such possessions and so high esteem,",153
NA,Scene II,Lord,Should be infused with so foul a spirit!,154
NA,Scene II,Sly,"What, would you make me mad? Am not I Christopher",155
NA,Scene II,Sly,"Sly, old Sly's son of Burtonheath, by birth a",156
NA,Scene II,Sly,"pedlar, by education a cardmaker, by transmutation a",157
NA,Scene II,Sly,"bear-herd, and now by present profession a tinker?",158
NA,Scene II,Sly,"Ask Marian Hacket, the fat ale-wife of Wincot, if",159
NA,Scene II,Sly,she know me not: if she say I am not fourteen pence,160
NA,Scene II,Sly,"on the score for sheer ale, score me up for the",161
NA,Scene II,Sly,lyingest knave in Christendom. What! I am not,162
NA,Scene II,Sly,bestraught: here's--,163
NA,Scene II,Third Servant,"O, this it is that makes your lady mourn!",164
NA,Scene II,Second Servant,"O, this is it that makes your servants droop!",165
