act,scene,character,dialogue,line_number
Act I,Scene I,Chorus,of thunder and lightning heard.,1
Act I,Scene I,[stage direction],Enter a Master and a Boatswain,NA
Act I,Scene I,Master,Boatswain!,2
Act I,Scene I,Boatswain,"Here, master: what cheer?",3
Act I,Scene I,Master,"Good, speak to the mariners: fall to't, yarely,",4
Act I,Scene I,Master,"or we run ourselves aground: bestir, bestir.",5
Act I,Scene I,[stage direction],Exit,NA
Act I,Scene I,[stage direction],Enter Mariners,NA
Act I,Scene I,Boatswain,"Heigh, my hearts! cheerly, cheerly, my hearts!",6
Act I,Scene I,Boatswain,"yare, yare! Take in the topsail. Tend to the",7
Act I,Scene I,Boatswain,"master's whistle. Blow, till thou burst thy wind,",8
Act I,Scene I,Boatswain,if room enough!,9
Act I,Scene I,[stage direction],"Enter ALONSO, SEBASTIAN, ANTONIO, FERDINAND, GONZALO, and others",NA
Act I,Scene I,Alonso,"Good boatswain, have care. Where's the master?",10
Act I,Scene I,Alonso,Play the men.,11
Act I,Scene I,Boatswain,"I pray now, keep below.",12
Act I,Scene I,Antonio,"Where is the master, boatswain?",13
Act I,Scene I,Boatswain,Do you not hear him? You mar our labour: keep your,14
Act I,Scene I,Boatswain,cabins: you do assist the storm.,15
Act I,Scene I,Gonzalo,"Nay, good, be patient.",16
Act I,Scene I,Boatswain,When the sea is. Hence! What cares these roarers,17
Act I,Scene I,Boatswain,for the name of king? To cabin: silence! trouble us not.,18
Act I,Scene I,Gonzalo,"Good, yet remember whom thou hast aboard.",19
Act I,Scene I,Boatswain,None that I more love than myself. You are a,20
Act I,Scene I,Boatswain,counsellor; if you can command these elements to,21
Act I,Scene I,Boatswain,"silence, and work the peace of the present, we will",22
Act I,Scene I,Boatswain,not hand a rope more; use your authority: if you,23
Act I,Scene I,Boatswain,"cannot, give thanks you have lived so long, and make",24
Act I,Scene I,Boatswain,yourself ready in your cabin for the mischance of,25
Act I,Scene I,Boatswain,"the hour, if it so hap. Cheerly, good hearts! Out",26
Act I,Scene I,Boatswain,"of our way, I say.",27
Act I,Scene I,[stage direction],Exit,NA
