act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter Poet, Painter, Jeweller, Merchant, and others, at several doors",NA
Act I,Scene I,Poet,"Good day, sir.",1
Act I,Scene I,Painter,I am glad you're well.,2
Act I,Scene I,Poet,I have not seen you long: how goes the world?,3
Act I,Scene I,Painter,"It wears, sir, as it grows.",4
Act I,Scene I,Poet,"Ay, that's well known:",5
Act I,Scene I,Poet,"But what particular rarity? what strange,",6
Act I,Scene I,Poet,"Which manifold record not matches? See,",7
Act I,Scene I,Poet,Magic of bounty! all these spirits thy power,8
Act I,Scene I,Poet,Hath conjured to attend. I know the merchant.,9
Act I,Scene I,Painter,I know them both; th' other's a jeweller.,10
Act I,Scene I,Merchant,"O, 'tis a worthy lord.",11
Act I,Scene I,Jeweller,"Nay, that's most fix'd.",12
Act I,Scene I,Merchant,"A most incomparable man, breathed, as it were,",13
Act I,Scene I,Merchant,To an untirable and continuate goodness:,14
Act I,Scene I,Merchant,He passes.,15
Act I,Scene I,Merchant,Jeweller:	I have a jewel here--,16
Act I,Scene I,Merchant,"O, pray, let's see't: for the Lord Timon, sir?",17
Act I,Scene I,Merchant,"Jeweller:	If he will touch the estimate: but, for that--",18
Act I,Scene I,Poet,[Reciting to himself]  'When we for recompense have,19
Act I,Scene I,Poet,"praised the vile,",20
Act I,Scene I,Poet,It stains the glory in that happy verse,21
Act I,Scene I,Poet,Which aptly sings the good.',22
Act I,Scene I,Merchant,'Tis a good form.,23
Act I,Scene I,[stage direction],Looking at the jewel,NA
Act I,Scene I,Jeweller,"And rich: here is a water, look ye.",24
Act I,Scene I,Painter,"You are rapt, sir, in some work, some dedication",25
Act I,Scene I,Painter,To the great lord.,26
Act I,Scene I,Poet,A thing slipp'd idly from me.,27
Act I,Scene I,Poet,"Our poesy is as a gum, which oozes",28
Act I,Scene I,Poet,From whence 'tis nourish'd: the fire i' the flint,29
Act I,Scene I,Poet,Shows not till it be struck; our gentle flame,30
Act I,Scene I,Poet,Provokes itself and like the current flies,31
Act I,Scene I,Poet,Each bound it chafes. What have you there?,32
Act I,Scene I,Painter,"A picture, sir. When comes your book forth?",33
Act I,Scene I,Poet,"Upon the heels of my presentment, sir.",34
Act I,Scene I,Poet,Let's see your piece.,35
Act I,Scene I,Painter,'Tis a good piece.,36
Act I,Scene I,Poet,So 'tis: this comes off well and excellent.,37
Act I,Scene I,Painter,Indifferent.,38
Act I,Scene I,Poet,Admirable: how this grace,39
Act I,Scene I,Poet,Speaks his own standing! what a mental power,40
Act I,Scene I,Poet,This eye shoots forth! how big imagination,41
Act I,Scene I,Poet,Moves in this lip! to the dumbness of the gesture,42
Act I,Scene I,Poet,One might interpret.,43
Act I,Scene I,Painter,It is a pretty mocking of the life.,44
Act I,Scene I,Painter,Here is a touch; is't good?,45
Act I,Scene I,Poet,"I will say of it,",46
Act I,Scene I,Poet,It tutors nature: artificial strife,47
