act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"The Tomb of the ANDRONICI appearing; the Tribunes  and Senators aloft. Enter, below, from one side,  SATURNINUS and his Followers; and, from the other side, BASSIANUS and his Followers; with drum and colours",NA
Act I,Scene I,Saturninus,"Noble patricians, patrons of my right,",1
Act I,Scene I,Saturninus,"Defend the justice of my cause with arms,",2
Act I,Scene I,Saturninus,"And, countrymen, my loving followers,",3
Act I,Scene I,Saturninus,Plead my successive title with your swords:,4
Act I,Scene I,Saturninus,"I am his first-born son, that was the last",5
Act I,Scene I,Saturninus,That wore the imperial diadem of Rome;,6
Act I,Scene I,Saturninus,"Then let my father's honours live in me,",7
Act I,Scene I,Saturninus,Nor wrong mine age with this indignity.,8
Act I,Scene I,Bassianus,"Romans, friends, followers, favorers of my right,",9
Act I,Scene I,Bassianus,"If ever Bassianus, Caesar's son,",10
Act I,Scene I,Bassianus,"Were gracious in the eyes of royal Rome,",11
Act I,Scene I,Bassianus,Keep then this passage to the Capitol,12
Act I,Scene I,Bassianus,And suffer not dishonour to approach,13
Act I,Scene I,Bassianus,"The imperial seat, to virtue consecrate,",14
Act I,Scene I,Bassianus,"To justice, continence and nobility;",15
Act I,Scene I,Bassianus,"But let desert in pure election shine,",16
Act I,Scene I,Bassianus,"And, Romans, fight for freedom in your choice.",17
Act I,Scene I,[stage direction],"Enter MARCUS ANDRONICUS, aloft, with the crown",NA
Act I,Scene I,Marcus Andronicus,"Princes, that strive by factions and by friends",18
Act I,Scene I,Marcus Andronicus,"Ambitiously for rule and empery,",19
Act I,Scene I,Marcus Andronicus,"Know that the people of Rome, for whom we stand",20
Act I,Scene I,Marcus Andronicus,"A special party, have, by common voice,",21
Act I,Scene I,Marcus Andronicus,"In election for the Roman empery,",22
Act I,Scene I,Marcus Andronicus,"Chosen Andronicus, surnamed Pius",23
Act I,Scene I,Marcus Andronicus,For many good and great deserts to Rome:,24
Act I,Scene I,Marcus Andronicus,"A nobler man, a braver warrior,",25
Act I,Scene I,Marcus Andronicus,Lives not this day within the city walls:,26
Act I,Scene I,Marcus Andronicus,He by the senate is accit'd home,27
Act I,Scene I,Marcus Andronicus,From weary wars against the barbarous Goths;,28
Act I,Scene I,Marcus Andronicus,"That, with his sons, a terror to our foes,",29
Act I,Scene I,Marcus Andronicus,"Hath yoked a nation strong, train'd up in arms.",30
Act I,Scene I,Marcus Andronicus,Ten years are spent since first he undertook,31
Act I,Scene I,Marcus Andronicus,This cause of Rome and chastised with arms,32
Act I,Scene I,Marcus Andronicus,Our enemies' pride: five times he hath return'd,33
Act I,Scene I,Marcus Andronicus,"Bleeding to Rome, bearing his valiant sons",34
Act I,Scene I,Marcus Andronicus,In coffins from the field;,35
Act I,Scene I,Marcus Andronicus,"And now at last, laden with horror's spoils,",36
Act I,Scene I,Marcus Andronicus,"Returns the good Andronicus to Rome,",37
Act I,Scene I,Marcus Andronicus,"Renowned Titus, flourishing in arms.",38
Act I,Scene I,Marcus Andronicus,"Let us entreat, by honour of his name,",39
Act I,Scene I,Marcus Andronicus,Whom worthily you would have now succeed.,40
Act I,Scene I,Marcus Andronicus,"And in the Capitol and senate's right,",41
Act I,Scene I,Marcus Andronicus,"Whom you pretend to honour and adore,",42
Act I,Scene I,Marcus Andronicus,That you withdraw you and abate your strength;,43
Act I,Scene I,Marcus Andronicus,"Dismiss your followers and, as suitors should,",44
Act I,Scene I,Marcus Andronicus,Plead your deserts in peace and humbleness.,45
Act I,Scene I,Saturninus,How fair the tribune speaks to calm my thoughts!,46
Act I,Scene I,Bassianus,"Marcus Andronicus, so I do ally",47
Act I,Scene I,Bassianus,"In thy uprightness and integrity,",48
Act I,Scene I,Bassianus,"And so I love and honour thee and thine,",49
Act I,Scene I,Bassianus,"Thy noble brother Titus and his sons,",50
