act,scene,character,dialogue,line_number
Act I,Prologue,Chorus,"In Troy, there lies the scene. From isles of Greece",1
Act I,Prologue,Chorus,"The princes orgulous, their high blood chafed,",2
Act I,Prologue,Chorus,"Have to the port of Athens sent their ships,",3
Act I,Prologue,Chorus,Fraught with the ministers and instruments,4
Act I,Prologue,Chorus,"Of cruel war: sixty and nine, that wore",5
Act I,Prologue,Chorus,"Their crownets regal, from the Athenian bay",6
Act I,Prologue,Chorus,Put forth toward Phrygia; and their vow is made,7
Act I,Prologue,Chorus,"To ransack Troy, within whose strong immures",8
Act I,Prologue,Chorus,"The ravish'd Helen, Menelaus' queen,",9
Act I,Prologue,Chorus,With wanton Paris sleeps; and that's the quarrel.,10
Act I,Prologue,Chorus,To Tenedos they come;,11
Act I,Prologue,Chorus,And the deep-drawing barks do there disgorge,12
Act I,Prologue,Chorus,Their warlike fraughtage: now on Dardan plains,13
Act I,Prologue,Chorus,The fresh and yet unbruised Greeks do pitch,14
Act I,Prologue,Chorus,"Their brave pavilions: Priam's six-gated city,",15
Act I,Prologue,Chorus,"Dardan, and Tymbria, Helias, Chetas, Troien,",16
Act I,Prologue,Chorus,"And Antenorides, with massy staples",17
Act I,Prologue,Chorus,"And corresponsive and fulfilling bolts,",18
Act I,Prologue,Chorus,Sperr up the sons of Troy.,19
Act I,Prologue,Chorus,"Now expectation, tickling skittish spirits,",20
Act I,Prologue,Chorus,"On one and other side, Trojan and Greek,",21
Act I,Prologue,Chorus,Sets all on hazard: and hither am I come,22
Act I,Prologue,Chorus,"A prologue arm'd, but not in confidence",23
Act I,Prologue,Chorus,"Of author's pen or actor's voice, but suited",24
Act I,Prologue,Chorus,"In like conditions as our argument,",25
Act I,Prologue,Chorus,"To tell you, fair beholders, that our play",26
Act I,Prologue,Chorus,"Leaps o'er the vaunt and firstlings of those broils,",27
Act I,Prologue,Chorus,"Beginning in the middle, starting thence away",28
Act I,Prologue,Chorus,To what may be digested in a play.,29
Act I,Prologue,Chorus,Like or find fault; do as your pleasures are:,30
Act I,Prologue,Chorus,"Now good or bad, 'tis but the chance of war.",31
Act I,Scene I,[stage direction],"Enter TROILUS armed, and PANDARUS",NA
Act I,Scene I,Troilus,Call here my varlet; I'll unarm again:,32
Act I,Scene I,Troilus,"Why should I war without the walls of Troy,",33
Act I,Scene I,Troilus,That find such cruel battle here within?,34
Act I,Scene I,Troilus,"Each Trojan that is master of his heart,",35
Act I,Scene I,Troilus,"Let him to field; Troilus, alas! hath none.",36
Act I,Scene I,Pandarus,Will this gear ne'er be mended?,37
Act I,Scene I,Troilus,"The Greeks are strong and skilful to their strength,",38
