act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],"Enter DUKE ORSINO, CURIO, and other Lords; Musicians attending",NA
Act I,Scene I,Duke Orsino,"If music be the food of love, play on;",1
Act I,Scene I,Duke Orsino,"Give me excess of it, that, surfeiting,",2
Act I,Scene I,Duke Orsino,"The appetite may sicken, and so die.",3
Act I,Scene I,Duke Orsino,That strain again! it had a dying fall:,4
Act I,Scene I,Duke Orsino,"O, it came o'er my ear like the sweet sound,",5
Act I,Scene I,Duke Orsino,"That breathes upon a bank of violets,",6
Act I,Scene I,Duke Orsino,Stealing and giving odour! Enough; no more:,7
Act I,Scene I,Duke Orsino,'Tis not so sweet now as it was before.,8
Act I,Scene I,Duke Orsino,"O spirit of love! how quick and fresh art thou,",9
Act I,Scene I,Duke Orsino,"That, notwithstanding thy capacity",10
Act I,Scene I,Duke Orsino,"Receiveth as the sea, nought enters there,",11
Act I,Scene I,Duke Orsino,"Of what validity and pitch soe'er,",12
Act I,Scene I,Duke Orsino,"But falls into abatement and low price,",13
Act I,Scene I,Duke Orsino,Even in a minute: so full of shapes is fancy,14
Act I,Scene I,Duke Orsino,That it alone is high fantastical.,15
Act I,Scene I,Curio,"Will you go hunt, my lord?",16
Act I,Scene I,Duke Orsino,"What, Curio?",17
Act I,Scene I,Curio,The hart.,18
Act I,Scene I,Duke Orsino,"Why, so I do, the noblest that I have:",19
Act I,Scene I,Duke Orsino,"O, when mine eyes did see Olivia first,",20
Act I,Scene I,Duke Orsino,Methought she purged the air of pestilence!,21
Act I,Scene I,Duke Orsino,That instant was I turn'd into a hart;,22
Act I,Scene I,Duke Orsino,"And my desires, like fell and cruel hounds,",23
Act I,Scene I,Duke Orsino,E'er since pursue me.,24
Act I,Scene I,[stage direction],Enter VALENTINE,NA
Act I,Scene I,Duke Orsino,How now! what news from her?,25
Act I,Scene I,Valentine,"So please my lord, I might not be admitted;",26
Act I,Scene I,Valentine,But from her handmaid do return this answer:,27
Act I,Scene I,Valentine,"The element itself, till seven years' heat,",28
Act I,Scene I,Valentine,Shall not behold her face at ample view;,29
Act I,Scene I,Valentine,"But, like a cloistress, she will veiled walk",30
Act I,Scene I,Valentine,And water once a day her chamber round,31
Act I,Scene I,Valentine,With eye-offending brine: all this to season,32
Act I,Scene I,Valentine,"A brother's dead love, which she would keep fresh",33
Act I,Scene I,Valentine,And lasting in her sad remembrance.,34
Act I,Scene I,Duke Orsino,"O, she that hath a heart of that fine frame",35
Act I,Scene I,Duke Orsino,"To pay this debt of love but to a brother,",36
Act I,Scene I,Duke Orsino,"How will she love, when the rich golden shaft",37
Act I,Scene I,Duke Orsino,Hath kill'd the flock of all affections else,38
Act I,Scene I,Duke Orsino,"That live in her; when liver, brain and heart,",39
Act I,Scene I,Duke Orsino,"These sovereign thrones, are all supplied, and fill'd",40
Act I,Scene I,Duke Orsino,Her sweet perfections with one self king!,41
Act I,Scene I,Duke Orsino,Away before me to sweet beds of flowers:,42
Act I,Scene I,Duke Orsino,Love-thoughts lie rich when canopied with bowers.,43
Act I,Scene I,[stage direction],Exeunt,NA
Act I,Scene II,[stage direction],"Enter VIOLA, a Captain, and Sailors",NA
Act I,Scene II,Viola,"What country, friends, is this?",44
Act I,Scene II,Captain,"This is Illyria, lady.",45
Act I,Scene II,Viola,And what should I do in Illyria?,46
Act I,Scene II,Viola,My brother he is in Elysium.,47
Act I,Scene II,Viola,"Perchance he is not drown'd: what think you, sailors?",48
Act I,Scene II,Captain,It is perchance that you yourself were saved.,49
Act I,Scene II,Viola,O my poor brother! and so perchance may he be.,50
Act I,Scene II,Captain,"True, madam: and, to comfort you with chance,",51
Act I,Scene II,Captain,"Assure yourself, after our ship did split,",52
Act I,Scene II,Captain,When you and those poor number saved with you,53
Act I,Scene II,Captain,"Hung on our driving boat, I saw your brother,",54
Act I,Scene II,Captain,"Most provident in peril, bind himself,",55
Act I,Scene II,Captain,"Courage and hope both teaching him the practise,",56
Act I,Scene II,Captain,To a strong mast that lived upon the sea;,57
Act I,Scene II,Captain,"Where, like Arion on the dolphin's back,",58
Act I,Scene II,Captain,I saw him hold acquaintance with the waves,59
Act I,Scene II,Captain,So long as I could see.,60
Act I,Scene II,Viola,"For saying so, there's gold:",61
Act I,Scene II,Viola,"Mine own escape unfoldeth to my hope,",62
Act I,Scene II,Viola,"Whereto thy speech serves for authority,",63
Act I,Scene II,Viola,The like of him. Know'st thou this country?,64
Act I,Scene II,Captain,"Ay, madam, well; for I was bred and born",65
Act I,Scene II,Captain,Not three hours' travel from this very place.,66
Act I,Scene II,Viola,Who governs here?,67
Act I,Scene II,Captain,"A noble duke, in nature as in name.",68
Act I,Scene II,Viola,What is the name?,69
Act I,Scene II,Captain,Orsino.,70
Act I,Scene II,Viola,Orsino! I have heard my father name him:,71
Act I,Scene II,Viola,He was a bachelor then.,72
Act I,Scene II,Captain,"And so is now, or was so very late;",73
Act I,Scene II,Captain,"For but a month ago I went from hence,",74
Act I,Scene II,Captain,"And then 'twas fresh in murmur,--as, you know,",75
Act I,Scene II,Captain,"What great ones do the less will prattle of,--",76
Act I,Scene II,Captain,That he did seek the love of fair Olivia.,77
Act I,Scene II,Viola,What's she?,78
Act I,Scene II,Captain,"A virtuous maid, the daughter of a count",79
Act I,Scene II,Captain,"That died some twelvemonth since, then leaving her",80
Act I,Scene II,Captain,"In the protection of his son, her brother,",81
Act I,Scene II,Captain,"Who shortly also died: for whose dear love,",82
Act I,Scene II,Captain,"They say, she hath abjured the company",83
Act I,Scene II,Captain,And sight of men.,84
Act I,Scene II,Viola,O that I served that lady,85
Act I,Scene II,Viola,"And might not be delivered to the world,",86
Act I,Scene II,Viola,"Till I had made mine own occasion mellow,",87
Act I,Scene II,Viola,What my estate is!,88
Act I,Scene II,Captain,That were hard to compass;,89
Act I,Scene II,Captain,"Because she will admit no kind of suit,",90
Act I,Scene II,Captain,"No, not the duke's.",91
Act I,Scene II,Viola,"There is a fair behavior in thee, captain;",92
Act I,Scene II,Viola,And though that nature with a beauteous wall,93
Act I,Scene II,Viola,"Doth oft close in pollution, yet of thee",94
Act I,Scene II,Viola,I will believe thou hast a mind that suits,95
Act I,Scene II,Viola,With this thy fair and outward character.,96
Act I,Scene II,Viola,"I prithee, and I'll pay thee bounteously,",97
Act I,Scene II,Viola,"Conceal me what I am, and be my aid",98
Act I,Scene II,Viola,For such disguise as haply shall become,99
Act I,Scene II,Viola,The form of my intent. I'll serve this duke:,100
Act I,Scene II,Viola,Thou shall present me as an eunuch to him:,101
Act I,Scene II,Viola,It may be worth thy pains; for I can sing,102
Act I,Scene II,Viola,And speak to him in many sorts of music,103
Act I,Scene II,Viola,That will allow me very worth his service.,104
Act I,Scene II,Viola,What else may hap to time I will commit;,105
Act I,Scene II,Viola,Only shape thou thy silence to my wit.,106
Act I,Scene II,Captain,"Be you his eunuch, and your mute I'll be:",107
Act I,Scene II,Captain,"When my tongue blabs, then let mine eyes not see.",108
Act I,Scene II,Viola,I thank thee: lead me on.,109
Act I,Scene II,[stage direction],Exeunt,NA
Act I,Scene III,[stage direction],Enter SIR TOBY BELCH and MARIA,NA
Act I,Scene III,Sir Toby Belch,"What a plague means my niece, to take the death of",110
Act I,Scene III,Sir Toby Belch,her brother thus? I am sure care's an enemy to life.,111
Act I,Scene III,Maria,"By my troth, Sir Toby, you must come in earlier o'",112
Act I,Scene III,Maria,"nights: your cousin, my lady, takes great",113
Act I,Scene III,Maria,exceptions to your ill hours.,114
Act I,Scene III,Sir Toby Belch,"Why, let her except, before excepted.",115
Act I,Scene III,Maria,"Ay, but you must confine yourself within the modest",116
Act I,Scene III,Maria,limits of order.,117
Act I,Scene III,Sir Toby Belch,Confine! I'll confine myself no finer than I am:,118
Act I,Scene III,Sir Toby Belch,these clothes are good enough to drink in; and so be,119
Act I,Scene III,Sir Toby Belch,"these boots too: an they be not, let them hang",120
Act I,Scene III,Sir Toby Belch,themselves in their own straps.,121
Act I,Scene III,Maria,That quaffing and drinking will undo you: I heard,122
Act I,Scene III,Maria,my lady talk of it yesterday; and of a foolish,123
Act I,Scene III,Maria,knight that you brought in one night here to be her wooer.,124
Act I,Scene III,Sir Toby Belch,"Who, Sir Andrew Aguecheek?",125
Act I,Scene III,Maria,"Ay, he.",126
Act I,Scene III,Sir Toby Belch,He's as tall a man as any's in Illyria.,127
Act I,Scene III,Maria,What's that to the purpose?,128
Act I,Scene III,Sir Toby Belch,"Why, he has three thousand ducats a year.",129
Act I,Scene III,Maria,"Ay, but he'll have but a year in all these ducats:",130
Act I,Scene III,Maria,he's a very fool and a prodigal.,131
Act I,Scene III,Sir Toby Belch,"Fie, that you'll say so! he plays o' the",132
Act I,Scene III,Sir Toby Belch,"viol-de-gamboys, and speaks three or four languages",133
Act I,Scene III,Sir Toby Belch,"word for word without book, and hath all the good",134
Act I,Scene III,Sir Toby Belch,gifts of nature.,135
Act I,Scene III,Maria,"He hath indeed, almost natural: for besides that",136
Act I,Scene III,Maria,"he's a fool, he's a great quarreller: and but that",137
Act I,Scene III,Maria,he hath the gift of a coward to allay the gust he,138
Act I,Scene III,Maria,"hath in quarrelling, 'tis thought among the prudent",139
Act I,Scene III,Maria,he would quickly have the gift of a grave.,140
Act I,Scene III,Sir Toby Belch,"By this hand, they are scoundrels and subtractors",141
Act I,Scene III,Sir Toby Belch,that say so of him. Who are they?,142
Act I,Scene III,Maria,"They that add, moreover, he's drunk nightly in your company.",143
Act I,Scene III,Sir Toby Belch,With drinking healths to my niece: I'll drink to,144
Act I,Scene III,Sir Toby Belch,her as long as there is a passage in my throat and,145
Act I,Scene III,Sir Toby Belch,drink in Illyria: he's a coward and a coystrill,146
Act I,Scene III,Sir Toby Belch,that will not drink to my niece till his brains turn,147
Act I,Scene III,Sir Toby Belch,"o' the toe like a parish-top. What, wench!",148
Act I,Scene III,Sir Toby Belch,Castiliano vulgo! for here comes Sir Andrew Agueface.,149
Act I,Scene III,[stage direction],Enter SIR ANDREW,NA
Act I,Scene III,Sir Andrew,"Sir Toby Belch! how now, Sir Toby Belch!",150
Act I,Scene III,Sir Toby Belch,Sweet Sir Andrew!,151
Act I,Scene III,Sir Andrew,"Bless you, fair shrew.",152
Act I,Scene III,Maria,"And you too, sir.",153
Act I,Scene III,Sir Toby Belch,"Accost, Sir Andrew, accost.",154
Act I,Scene III,Sir Andrew,What's that?,155
Act I,Scene III,Sir Toby Belch,My niece's chambermaid.,156
Act I,Scene III,Sir Andrew,"Good Mistress Accost, I desire better acquaintance.",157
Act I,Scene III,Maria,"My name is Mary, sir.",158
Act I,Scene III,Sir Andrew,"Good Mistress Mary Accost,--",159
Act I,Scene III,Sir Toby Belch,"You mistake, knight; 'accost' is front her, board",160
Act I,Scene III,Sir Toby Belch,"her, woo her, assail her.",161
Act I,Scene III,Sir Andrew,"By my troth, I would not undertake her in this",162
Act I,Scene III,Sir Andrew,company. Is that the meaning of 'accost'?,163
Act I,Scene III,Maria,"Fare you well, gentlemen.",164
Act I,Scene III,Sir Toby Belch,"An thou let part so, Sir Andrew, would thou mightst",165
Act I,Scene III,Sir Toby Belch,never draw sword again.,166
Act I,Scene III,Sir Andrew,"An you part so, mistress, I would I might never",167
Act I,Scene III,Sir Andrew,"draw sword again. Fair lady, do you think you have",168
Act I,Scene III,Sir Andrew,fools in hand?,169
Act I,Scene III,Maria,"Sir, I have not you by the hand.",170
Act I,Scene III,Sir Andrew,"Marry, but you shall have; and here's my hand.",171
Act I,Scene III,Maria,"Now, sir, 'thought is free:' I pray you, bring",172
Act I,Scene III,Maria,your hand to the buttery-bar and let it drink.,173
Act I,Scene III,Sir Andrew,"Wherefore, sweet-heart? what's your metaphor?",174
Act I,Scene III,Maria,"It's dry, sir.",175
Act I,Scene III,Sir Andrew,"Why, I think so: I am not such an ass but I can",176
Act I,Scene III,Sir Andrew,keep my hand dry. But what's your jest?,177
Act I,Scene III,Maria,"A dry jest, sir.",178
Act I,Scene III,Sir Andrew,Are you full of them?,179
Act I,Scene III,Maria,"Ay, sir, I have them at my fingers' ends: marry,",180
Act I,Scene III,Maria,"now I let go your hand, I am barren.",181
Act I,Scene III,[stage direction],Exit,NA
Act I,Scene III,Sir Toby Belch,O knight thou lackest a cup of canary: when did I,182
Act I,Scene III,Sir Toby Belch,see thee so put down?,183
Act I,Scene III,Sir Andrew,"Never in your life, I think; unless you see canary",184
Act I,Scene III,Sir Andrew,put me down. Methinks sometimes I have no more wit,185
Act I,Scene III,Sir Andrew,than a Christian or an ordinary man has: but I am a,186
Act I,Scene III,Sir Andrew,great eater of beef and I believe that does harm to my wit.,187
Act I,Scene III,Sir Toby Belch,No question.,188
Act I,Scene III,Sir Andrew,"An I thought that, I'ld forswear it. I'll ride home",189
Act I,Scene III,Sir Andrew,"to-morrow, Sir Toby.",190
Act I,Scene III,Sir Toby Belch,"Pourquoi, my dear knight?",191
Act I,Scene III,Sir Andrew,What is 'Pourquoi'? do or not do? I would I had,192
Act I,Scene III,Sir Andrew,bestowed that time in the tongues that I have in,193
Act I,Scene III,Sir Andrew,"fencing, dancing and bear-baiting: O, had I but",194
Act I,Scene III,Sir Andrew,followed the arts!,195
Act I,Scene III,Sir Toby Belch,Then hadst thou had an excellent head of hair.,196
Act I,Scene III,Sir Andrew,"Why, would that have mended my hair?",197
Act I,Scene III,Sir Toby Belch,Past question; for thou seest it will not curl by nature.,198
Act I,Scene III,Sir Andrew,"But it becomes me well enough, does't not?",199
Act I,Scene III,Sir Toby Belch,Excellent; it hangs like flax on a distaff; and I,200
Act I,Scene III,Sir Toby Belch,hope to see a housewife take thee between her legs,201
Act I,Scene III,Sir Toby Belch,and spin it off.,202
Act I,Scene III,Sir Andrew,"Faith, I'll home to-morrow, Sir Toby: your niece",203
Act I,Scene III,Sir Andrew,"will not be seen; or if she be, it's four to one",204
Act I,Scene III,Sir Andrew,she'll none of me: the count himself here hard by woos her.,205
Act I,Scene III,Sir Toby Belch,She'll none o' the count: she'll not match above,206
Act I,Scene III,Sir Toby Belch,"her degree, neither in estate, years, nor wit; I",207
Act I,Scene III,Sir Toby Belch,"have heard her swear't. Tut, there's life in't,",208
Act I,Scene III,Sir Toby Belch,man.,209
Act I,Scene III,Sir Andrew,I'll stay a month longer. I am a fellow o' the,210
Act I,Scene III,Sir Andrew,strangest mind i' the world; I delight in masques,211
Act I,Scene III,Sir Andrew,and revels sometimes altogether.,212
Act I,Scene III,Sir Toby Belch,"Art thou good at these kickshawses, knight?",213
Act I,Scene III,Sir Andrew,"As any man in Illyria, whatsoever he be, under the",214
Act I,Scene III,Sir Andrew,degree of my betters; and yet I will not compare,215
Act I,Scene III,Sir Andrew,with an old man.,216
Act I,Scene III,Sir Toby Belch,"What is thy excellence in a galliard, knight?",217
Act I,Scene III,Sir Andrew,"Faith, I can cut a caper.",218
Act I,Scene III,Sir Toby Belch,And I can cut the mutton to't.,219
Act I,Scene III,Sir Andrew,And I think I have the back-trick simply as strong,220
Act I,Scene III,Sir Andrew,as any man in Illyria.,221
Act I,Scene III,Sir Toby Belch,Wherefore are these things hid? wherefore have,222
Act I,Scene III,Sir Toby Belch,these gifts a curtain before 'em? are they like to,223
Act I,Scene III,Sir Toby Belch,"take dust, like Mistress Mall's picture? why dost",224
Act I,Scene III,Sir Toby Belch,thou not go to church in a galliard and come home in,225
Act I,Scene III,Sir Toby Belch,a coranto? My very walk should be a jig; I would not,226
Act I,Scene III,Sir Toby Belch,so much as make water but in a sink-a-pace. What,227
Act I,Scene III,Sir Toby Belch,dost thou mean? Is it a world to hide virtues in?,228
Act I,Scene III,Sir Toby Belch,"I did think, by the excellent constitution of thy",229
Act I,Scene III,Sir Toby Belch,"leg, it was formed under the star of a galliard.",230
Act I,Scene III,Sir Andrew,"Ay, 'tis strong, and it does indifferent well in a",231
Act I,Scene III,Sir Andrew,flame-coloured stock. Shall we set about some revels?,232
Act I,Scene III,Sir Toby Belch,What shall we do else? were we not born under Taurus?,233
Act I,Scene III,Sir Andrew,Taurus! That's sides and heart.,234
Act I,Scene III,Sir Toby Belch,"No, sir; it is legs and thighs. Let me see the",235
Act I,Scene III,Sir Toby Belch,"caper; ha! higher: ha, ha! excellent!",236
Act I,Scene III,[stage direction],Exeunt,NA
Act I,Scene IV,[stage direction],Enter VALENTINE and VIOLA in man's attire,NA
Act I,Scene IV,Valentine,"If the duke continue these favours towards you,",237
Act I,Scene IV,Valentine,"Cesario, you are like to be much advanced: he hath",238
Act I,Scene IV,Valentine,"known you but three days, and already you are no stranger.",239
Act I,Scene IV,Viola,"You either fear his humour or my negligence, that",240
Act I,Scene IV,Viola,you call in question the continuance of his love:,241
Act I,Scene IV,Viola,"is he inconstant, sir, in his favours?",242
Act I,Scene IV,Valentine,"No, believe me.",243
Act I,Scene IV,Viola,I thank you. Here comes the count.,244
Act I,Scene IV,[stage direction],"Enter DUKE ORSINO, CURIO, and Attendants",NA
Act I,Scene IV,Duke Orsino,"Who saw Cesario, ho?",245
Act I,Scene IV,Viola,"On your attendance, my lord; here.",246
Act I,Scene IV,Duke Orsino,"Stand you a while aloof, Cesario,",247
Act I,Scene IV,Duke Orsino,Thou know'st no less but all; I have unclasp'd,248
Act I,Scene IV,Duke Orsino,To thee the book even of my secret soul:,249
Act I,Scene IV,Duke Orsino,"Therefore, good youth, address thy gait unto her;",250
Act I,Scene IV,Duke Orsino,"Be not denied access, stand at her doors,",251
Act I,Scene IV,Duke Orsino,"And tell them, there thy fixed foot shall grow",252
Act I,Scene IV,Duke Orsino,Till thou have audience.,253
Act I,Scene IV,Viola,"Sure, my noble lord,",254
Act I,Scene IV,Viola,If she be so abandon'd to her sorrow,255
Act I,Scene IV,Viola,"As it is spoke, she never will admit me.",256
Act I,Scene IV,Duke Orsino,Be clamorous and leap all civil bounds,257
Act I,Scene IV,Duke Orsino,Rather than make unprofited return.,258
Act I,Scene IV,Viola,"Say I do speak with her, my lord, what then?",259
Act I,Scene IV,Duke Orsino,"O, then unfold the passion of my love,",260
Act I,Scene IV,Duke Orsino,Surprise her with discourse of my dear faith:,261
Act I,Scene IV,Duke Orsino,It shall become thee well to act my woes;,262
Act I,Scene IV,Duke Orsino,She will attend it better in thy youth,263
Act I,Scene IV,Duke Orsino,Than in a nuncio's of more grave aspect.,264
Act I,Scene IV,Viola,"I think not so, my lord.",265
Act I,Scene IV,Duke Orsino,"Dear lad, believe it;",266
Act I,Scene IV,Duke Orsino,"For they shall yet belie thy happy years,",267
Act I,Scene IV,Duke Orsino,That say thou art a man: Diana's lip,268
Act I,Scene IV,Duke Orsino,Is not more smooth and rubious; thy small pipe,269
Act I,Scene IV,Duke Orsino,"Is as the maiden's organ, shrill and sound,",270
Act I,Scene IV,Duke Orsino,And all is semblative a woman's part.,271
Act I,Scene IV,Duke Orsino,I know thy constellation is right apt,272
Act I,Scene IV,Duke Orsino,For this affair. Some four or five attend him;,273
Act I,Scene IV,Duke Orsino,"All, if you will; for I myself am best",274
Act I,Scene IV,Duke Orsino,"When least in company. Prosper well in this,",275
Act I,Scene IV,Duke Orsino,"And thou shalt live as freely as thy lord,",276
Act I,Scene IV,Duke Orsino,To call his fortunes thine.,277
Act I,Scene IV,Viola,I'll do my best,278
Act I,Scene IV,Viola,To woo your lady:,279
Act I,Scene IV,[stage direction],Aside,NA
Act I,Scene IV,Viola,"yet, a barful strife!",280
Act I,Scene IV,Viola,"Whoe'er I woo, myself would be his wife.",281
Act I,Scene IV,[stage direction],Exeunt,NA
Act I,Scene V,[stage direction],Enter MARIA and Clown,NA
Act I,Scene V,Maria,"Nay, either tell me where thou hast been, or I will",282
Act I,Scene V,Maria,not open my lips so wide as a bristle may enter in,283
Act I,Scene V,Maria,way of thy excuse: my lady will hang thee for thy absence.,284
Act I,Scene V,Clown,Let her hang me: he that is well hanged in this,285
Act I,Scene V,Clown,world needs to fear no colours.,286
Act I,Scene V,Maria,Make that good.,287
Act I,Scene V,Clown,He shall see none to fear.,288
Act I,Scene V,Maria,A good lenten answer: I can tell thee where that,289
Act I,Scene V,Maria,"saying was born, of 'I fear no colours.'",290
Act I,Scene V,Clown,"Where, good Mistress Mary?",291
Act I,Scene V,Maria,In the wars; and that may you be bold to say in your foolery.,292
Act I,Scene V,Clown,"Well, God give them wisdom that have it; and those",293
Act I,Scene V,Clown,"that are fools, let them use their talents.",294
