act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],Enter VALENTINE and PROTEUS,NA
Act I,Scene I,Valentine,"Cease to persuade, my loving Proteus:",1
Act I,Scene I,Valentine,Home-keeping youth have ever homely wits.,2
Act I,Scene I,Valentine,Were't not affection chains thy tender days,3
Act I,Scene I,Valentine,"To the sweet glances of thy honour'd love,",4
Act I,Scene I,Valentine,I rather would entreat thy company,5
Act I,Scene I,Valentine,"To see the wonders of the world abroad,",6
Act I,Scene I,Valentine,"Than, living dully sluggardized at home,",7
Act I,Scene I,Valentine,Wear out thy youth with shapeless idleness.,8
Act I,Scene I,Valentine,"But since thou lovest, love still and thrive therein,",9
Act I,Scene I,Valentine,Even as I would when I to love begin.,10
Act I,Scene I,Proteus,"Wilt thou be gone? Sweet Valentine, adieu!",11
Act I,Scene I,Proteus,"Think on thy Proteus, when thou haply seest",12
Act I,Scene I,Proteus,Some rare note-worthy object in thy travel:,13
Act I,Scene I,Proteus,Wish me partaker in thy happiness,14
Act I,Scene I,Proteus,"When thou dost meet good hap; and in thy danger,",15
Act I,Scene I,Proteus,"If ever danger do environ thee,",16
Act I,Scene I,Proteus,"Commend thy grievance to my holy prayers,",17
Act I,Scene I,Proteus,"For I will be thy beadsman, Valentine.",18
Act I,Scene I,Valentine,And on a love-book pray for my success?,19
Act I,Scene I,Proteus,Upon some book I love I'll pray for thee.,20
Act I,Scene I,Valentine,That's on some shallow story of deep love:,21
Act I,Scene I,Valentine,How young Leander cross'd the Hellespont.,22
Act I,Scene I,Proteus,That's a deep story of a deeper love:,23
Act I,Scene I,Proteus,For he was more than over shoes in love.,24
Act I,Scene I,Valentine,"'Tis true; for you are over boots in love,",25
Act I,Scene I,Valentine,And yet you never swum the Hellespont.,26
Act I,Scene I,Proteus,"Over the boots? nay, give me not the boots.",27
Act I,Scene I,Valentine,"No, I will not, for it boots thee not.",28
Act I,Scene I,Proteus,What?,29
Act I,Scene I,Valentine,"To be in love, where scorn is bought with groans;",30
Act I,Scene I,Valentine,Coy looks with heart-sore sighs; one fading moment's mirth,31
Act I,Scene I,Valentine,"With twenty watchful, weary, tedious nights:",32
Act I,Scene I,Valentine,"If haply won, perhaps a hapless gain;",33
Act I,Scene I,Valentine,"If lost, why then a grievous labour won;",34
Act I,Scene I,Valentine,"However, but a folly bought with wit,",35
Act I,Scene I,Valentine,Or else a wit by folly vanquished.,36
Act I,Scene I,Proteus,"So, by your circumstance, you call me fool.",37
Act I,Scene I,Valentine,"So, by your circumstance, I fear you'll prove.",38
Act I,Scene I,Proteus,'Tis love you cavil at: I am not Love.,39
Act I,Scene I,Valentine,"Love is your master, for he masters you:",40
Act I,Scene I,Valentine,"And he that is so yoked by a fool,",41
Act I,Scene I,Valentine,"Methinks, should not be chronicled for wise.",42
Act I,Scene I,Proteus,"Yet writers say, as in the sweetest bud",43
Act I,Scene I,Proteus,"The eating canker dwells, so eating love",44
Act I,Scene I,Proteus,Inhabits in the finest wits of all.,45
Act I,Scene I,Valentine,"And writers say, as the most forward bud",46
