act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],Enter CAMILLO and ARCHIDAMUS,NA
Act I,Scene I,Archidamus,"If you shall chance, Camillo, to visit Bohemia, on",1
Act I,Scene I,Archidamus,the like occasion whereon my services are now on,2
Act I,Scene I,Archidamus,"foot, you shall see, as I have said, great",3
Act I,Scene I,Archidamus,difference betwixt our Bohemia and your Sicilia.,4
Act I,Scene I,Camillo,"I think, this coming summer, the King of Sicilia",5
Act I,Scene I,Camillo,means to pay Bohemia the visitation which he justly owes him.,6
Act I,Scene I,Archidamus,Wherein our entertainment shall shame us we will be,7
Act I,Scene I,Archidamus,justified in our loves; for indeed--,8
Act I,Scene I,Camillo,"Beseech you,--",9
Act I,Scene I,Archidamus,"Verily, I speak it in the freedom of my knowledge:",10
Act I,Scene I,Archidamus,we cannot with such magnificence--in so rare--I know,11
Act I,Scene I,Archidamus,"not what to say. We will give you sleepy drinks,",12
Act I,Scene I,Archidamus,"that your senses, unintelligent of our insufficience,",13
Act I,Scene I,Archidamus,"may, though they cannot praise us, as little accuse",14
Act I,Scene I,Archidamus,us.,15
Act I,Scene I,Camillo,You pay a great deal too dear for what's given freely.,16
Act I,Scene I,Archidamus,"Believe me, I speak as my understanding instructs me",17
Act I,Scene I,Archidamus,and as mine honesty puts it to utterance.,18
Act I,Scene I,Camillo,Sicilia cannot show himself over-kind to Bohemia.,19
Act I,Scene I,Camillo,They were trained together in their childhoods; and,20
Act I,Scene I,Camillo,"there rooted betwixt them then such an affection,",21
Act I,Scene I,Camillo,which cannot choose but branch now. Since their,22
Act I,Scene I,Camillo,more mature dignities and royal necessities made,23
Act I,Scene I,Camillo,"separation of their society, their encounters,",24
Act I,Scene I,Camillo,"though not personal, have been royally attorneyed",25
Act I,Scene I,Camillo,"with interchange of gifts, letters, loving",26
Act I,Scene I,Camillo,"embassies; that they have seemed to be together,",27
Act I,Scene I,Camillo,"though absent, shook hands, as over a vast, and",28
Act I,Scene I,Camillo,"embraced, as it were, from the ends of opposed",29
Act I,Scene I,Camillo,winds. The heavens continue their loves!,30
Act I,Scene I,Archidamus,I think there is not in the world either malice or,31
Act I,Scene I,Archidamus,matter to alter it. You have an unspeakable,32
Act I,Scene I,Archidamus,comfort of your young prince Mamillius: it is a,33
Act I,Scene I,Archidamus,gentleman of the greatest promise that ever came,34
Act I,Scene I,Archidamus,into my note.,35
Act I,Scene I,Camillo,I very well agree with you in the hopes of him: it,36
Act I,Scene I,Camillo,is a gallant child; one that indeed physics the,37
Act I,Scene I,Camillo,"subject, makes old hearts fresh: they that went on",38
Act I,Scene I,Camillo,crutches ere he was born desire yet their life to,39
Act I,Scene I,Camillo,see him a man.,40
Act I,Scene I,Archidamus,Would they else be content to die?,41
Act I,Scene I,Camillo,Yes; if there were no other excuse why they should,42
Act I,Scene I,Camillo,desire to live.,43
Act I,Scene I,Archidamus,"If the king had no son, they would desire to live",44
Act I,Scene I,Archidamus,on crutches till he had one.,45
Act I,Scene I,[stage direction],Exeunt,NA
Act I,Scene II,[stage direction],"Enter LEONTES, HERMIONE, MAMILLIUS, POLIXENES, CAMILLO, and Attendants",NA
Act I,Scene II,Polixenes,Nine changes of the watery star hath been,46
Act I,Scene II,Polixenes,The shepherd's note since we have left our throne,47
Act I,Scene II,Polixenes,Without a burthen: time as long again,48
Act I,Scene II,Polixenes,"Would be find up, my brother, with our thanks;",49
Act I,Scene II,Polixenes,"And yet we should, for perpetuity,",50
Act I,Scene II,Polixenes,"Go hence in debt: and therefore, like a cipher,",51
Act I,Scene II,Polixenes,"Yet standing in rich place, I multiply",52
Act I,Scene II,Polixenes,With one 'We thank you' many thousands moe,53
Act I,Scene II,Polixenes,That go before it.,54
Act I,Scene II,Leontes,Stay your thanks a while;,55
Act I,Scene II,Leontes,And pay them when you part.,56
Act I,Scene II,Polixenes,"Sir, that's to-morrow.",57
Act I,Scene II,Polixenes,"I am question'd by my fears, of what may chance",58
Act I,Scene II,Polixenes,Or breed upon our absence; that may blow,59
Act I,Scene II,Polixenes,"No sneaping winds at home, to make us say",60
Act I,Scene II,Polixenes,"'This is put forth too truly:' besides, I have stay'd",61
Act I,Scene II,Polixenes,To tire your royalty.,62
Act I,Scene II,Leontes,"We are tougher, brother,",63
Act I,Scene II,Leontes,Than you can put us to't.,64
Act I,Scene II,Polixenes,No longer stay.,65
Act I,Scene II,Leontes,One seven-night longer.,66
Act I,Scene II,Polixenes,"Very sooth, to-morrow.",67
Act I,Scene II,Leontes,We'll part the time between's then; and in that,68
Act I,Scene II,Leontes,I'll no gainsaying.,69
Act I,Scene II,Polixenes,"Press me not, beseech you, so.",70
Act I,Scene II,Polixenes,"There is no tongue that moves, none, none i' the world,",71
Act I,Scene II,Polixenes,"So soon as yours could win me: so it should now,",72
Act I,Scene II,Polixenes,"Were there necessity in your request, although",73
